Type,Vessel_Name,Built,Size_Dwt,Builder,Sold,Price,Newbuild_Price,Scrap_Price,TCR_6M,TCR_1Yr,TCR_3Yrs,TCR_5Yrs,TCR_1Yr_Class,TCR_Median_15Yrs,Age_Yrs,Builder_Country,China,Japan,Other,South_Korea,Class
Bulk,26 Agustos,2002,52455,Tsuneishi Philippines,2017-02-28,5.2,22.25,3.06497,9750,9000,9500,9750,9000,13750,15,China,1,0,0,0,Handymax
Bulk,A Duckling,1999,171199,Koyo,2014-04-14,20.8,57,10.42314,26187.5,27250,24500,24500,27250,23000,15,Japan,0,1,0,0,Capesize
Bulk,A Max,2011,84062,Hyundai,2015-02-16,16.5,29.5,4.34232,,7825,9850,11250,7825,15000,4,South_Korea,0,0,0,1,Panamax
Bulk,ABG Keshava,1982,39413,Brazil,2008-09-05,18,40,4.01844,,31500,,,31500,10750,26,Other,0,0,1,0,Handysize
Bulk,ABY Paola,2015,60935,JMU Japan,2016-05-17,19.5,23.25,2.52527,6750,6250,,,6250,13750,1,Japan,0,1,0,0,Handymax
Bulk,ACS Diamond,2005,53299,New Century,2013-12-22,14.9,26.5,3.80673,,12375,,,12375,13625,8,China,1,0,0,0,Handymax
Bulk,ACS Diamond,2005,53299,New Century,2014-11-24,7,27,4.11365,10250,10000,10250,10250,10000,13750,9,China,1,0,0,0,Handymax
Bulk,ADS Arendal,2004,76830,Sasebo Japan,2020-12-14,7.8,25.5,5.00905,,11100,10350,10450,12450,13250,16,Japan,0,1,0,0,Panamax
Bulk,AEC Abiity,2014,37860,Naikai,2014-10-21,26.6,23.25,3.43757,8750,8750,9000,9000,8750,10500,0,Japan,0,1,0,0,Handysize
Bulk,AEC Ability II,2006,37504,Saiki Japan,2020-11-05,6.2,23,2.7436,9875,9625,9375,10375,9625,9750,14,Japan,0,1,0,0,Handysize
Bulk,AEC Belief,2004,33540,Shin Kurushima Japan,2019-01-28,9.2,21.55,2.82203,8250,8500,9000,9000,9000,11000,15,Japan,0,1,0,0,Handysize
Bulk,AEC Courage,2015,37745,Shimanami,2015-06-09,21,21.5,2.52507,6000,6500,7250,7500,6500,10500,0,Japan,0,1,0,0,Handysize
Bulk,AEC Diligence,2002,31642,Saiki Japan,2017-01-30,5.4,18.5,2.139,6250,6500,7000,7250,7000,10500,15,Japan,0,1,0,0,Handysize
Bulk,AEC Faith,2015,37700,Naikai,2015-03-24,22,22,2.72346,7250,7500,8000,8000,7500,10500,0,Japan,0,1,0,0,Handysize
Bulk,AK Ceren,1991,42284,Hyundai,2014-02-17,4.7,23.25,3.17018,,10000,,,10000,10500,23,South_Korea,0,0,0,1,Handysize
Bulk,AMBER K,2000,47282,Oshima,2012-07-06,13.5,25.25,3.55363,,10750,,,10750,13625,12,Japan,0,1,0,0,Handymax
Bulk,AMS Pegasus I,2012,81852,Hyundai Vietnam,2016-06-29,12.7,24.25,3.40532,,6050,6525,8075,6050,15000,4,South_Korea,0,0,0,1,Panamax
Bulk,AMS Pegasus I,2012,81598,Hyundai Vietnam,2016-07-18,13,24.25,3.53371,,6800,6750,8175,6800,15000,4,South_Korea,0,0,0,1,Panamax
Bulk,AMS Pegasus II,2012,81852,Hyundai Vietnam,2016-06-20,12.7,24.5,3.40532,,6050,6525,8075,6050,15000,4,South_Korea,0,0,0,1,Panamax
Bulk,AOM Milena,2009,76606,Shin Kasado Japan,2018-10-15,16,27.5,5.67718,,13800,12800,12125,15375,14800,9,Japan,0,1,0,0,Panamax
Bulk,AP Konavle,2013,79800,Jiangsu,2013-10-09,21.5,27,5.02233,,13500,12000,12500,13500,14500,0,China,1,0,0,0,Panamax
Bulk,AT 40,1995,43246,Hyundai S Korea,2018-04-27,5.1,22.5,2.96528,11250,11000,10000,9750,11000,10750,23,South_Korea,0,0,0,1,Handysize
Bulk,AZURITE OCEAN,2002,32178,Hakodate,2012-07-03,12,21,2.86872,9000,8750,9250,10500,8750,11250,10,Japan,0,1,0,0,Handysize
