Type,Vessel_Name,Built,Size_Dwt,Builder,Sold,En_Bloc,Price,Sellers,Buyers,SOx_Scrubber_Fitted,Eco_Engine,Newbuild_Price,Scrap_Price,TCR_6M,TCR_1Yr,TCR_3Yrs,TCR_5Yrs,TCR_1Yr_Class,Age_Yrs,Builder_Country,China,India,Indonesia,Japan,Other,Philippines,South_Korea,Taiwan,Vietnam,Class
Bulk,Australia Maru,2012,181415,Koyo Dock,2021-05-21,0,33.5,Nissen Kaiun,Greek interests,1,0,55.75,11.7755,39000,29750,22875,19625,29750,9,Japan,0,0,0,1,0,0,0,0,0,Capesize
Bulk,Dry Beam Neo,2019,38180,Shin Kochi Jyuko,2021-05-21,0,24,Libera Corporation,Undisclosed interests,0,1,25.75,3.7708,25750,19250,12500,10750,19250,2,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Ioanna L,2017,81837,Tsuneishi Zhoushan,2021-05-21,0,29.5,Kambara Kisen KK,German interests,0,1,30.5,6.589,,24875,16560,14200,24875,4,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,Fushun,1997,48225,Oshima Shipbuilding,2021-05-20,0,6.5,Zhangzhou Shipping,Chinese interests,0,0,28.5,5.20355,26000,18625,13250,10500,18625,24,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Basic Rainbow,2011,38468,Minaminippon (Ozai),2021-05-18,0,14.3,Doun Kisen,Clients of Taylor Maritime,0,0,25.75,3.7708,23000,18250,12500,10750,18250,10,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,C. S. Dream,2010,50780,Oshima Shipbuilding,2021-05-18,0,13.8,Chugoku Sogyo Co.,Clients of Densay Shipping,0,0,28.5,5.20355,26000,18625,13250,10500,18625,11,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Countess I,2013,79234,Jiangsu Eastern,2021-05-18,0,19,Verano Mgmt,Chinese interests,0,0,30,6.589,,22000,14250,13125,23750,8,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,Indigo Traveller,2011,55596,Mitsui SB (Tamano),2021-05-18,0,15.8,I.M.S. Maritime,Clients of Taylor Maritime,0,0,28.5,5.20355,26000,18625,13250,10500,18625,10,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Leap Heart,2012,28383,Imabari SB (Imabari),2021-05-18,0,10,Ohnishi Kisen,Clients of Taylor Maritime,0,0,23.12,3.7708,18000,15625,11000,9500,18250,9,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Nordcolorado,2016,37976,Zhejiang Ouhua SB,2021-05-18,0,18.05,Reederei Nord,Clients of Taylor Maritime,0,1,25.75,3.7708,23000,18250,12500,10750,18250,5,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Nordrubicon,2016,37985,Zhejiang Ouhua SB,2021-05-18,0,18.28,Reederei Nord,Clients of Taylor Maritime,0,1,25.75,3.7708,23000,18250,12500,10750,18250,5,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Tai Hawk,2004,52686,Oshima Shipbuilding,2021-05-15,0,10,Taiwan Navigation,Chinese interests,0,0,28.5,5.20355,26000,18625,13250,10500,18625,17,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Crystal Island*,2011,28228,Shimanami Shipyard,2021-05-14,0,9.6,Shikishima Kisen,Undisclosed interests,0,0,23.12,3.7708,18000,15625,11000,9500,18250,10,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Loveland Island*,2010,28316,Imabari SB (Imabari),2021-05-14,0,9.2,Shikishima Kisen,Undisclosed interests,0,0,23.12,3.7708,18000,15625,11000,9500,18250,11,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Pacific Hero,2012,58677,Kawasaki HI Kobe,2021-05-14,0,18,Century Tokyo,Clients of Taylor Maritime,0,0,28.5,5.20355,26000,18625,13250,10500,18625,9,Japan,0,0,0,1,0,0,0,0,0,Handymax
